PHANOTATE	41	30347	29847	-
PHANOTATE	42	30613	30392	-
PHANOTATE	43	30709	30620	-
PHANOTATE	44	30894	30712	-
PHANOTATE	45	31196	31005	-
PHANOTATE	46	31351	31169	-
PHANOTATE	47	32028	31348	-
PHANOTATE	48	32810	32025	-
PHANOTATE	49	33232	32816	-
PHANOTATE	50	33456	33187	-
PHANOTATE	51	33904	33536	-
PHANOTATE	52	34006	33917	-
PHANOTATE	53	34287	34087	-
PHANOTATE	54	34261	34386	+
PHANOTATE	55	34485	35036	+
PHANOTATE	56	35438	35037	-
PHANOTATE	57	35471	35581	+
PHANOTATE	58	35583	35672	+
PHANOTATE	59	35669	35854	+
PHANOTATE	60	36259	35825	-
PHANOTATE	61	37114	36275	-
PHANOTATE	62	37940	37227	-
PHANOTATE	63	37919	38056	+
PHANOTATE	64	38041	38241	+
PHANOTATE	65	38300	38653	+
PHANOTATE	66	38686	39585	+
PHANOTATE	67	39582	40283	+
PHANOTATE	68	40280	40570	+
PHANOTATE	69	40644	41084	+
PHANOTATE	70	41063	41953	+
PHANOTATE	71	41972	42169	+
PHANOTATE	72	42227	42439	+
PHANOTATE	73	42429	43043	+
PHANOTATE	74	43152	43889	+
PHANOTATE	75	43886	44509	+
PHANOTATE	76	44690	44538	-
PHANOTATE	77	44938	44654	-
PHANOTATE	78	45242	45147	-
PHANOTATE	79	45186	45509	+
PHANOTATE	80	45493	45969	+
PHANOTATE	81	45966	46427	+
PHANOTATE	82	46752	46459	-
PHANOTATE	83	46994	46896	-
PHANOTATE	84	47494	47042	-
PHANOTATE	85	47736	47572	-
PHANOTATE	86	47738	47944	+
PHANOTATE	87	48303	48109	-
PHANOTATE	88	48432	48319	-
Prodigal_v2.6.3	1	191	736	+
Prodigal_v2.6.3	2	711	2636	+
Prodigal_v2.6.3	3	2633	2839	+
Prodigal_v2.6.3	4	2836	4437	+
Prodigal_v2.6.3	5	4418	5737	+
Prodigal_v2.6.3	6	5747	6079	+
Prodigal_v2.6.3	7	6135	7160	+
Prodigal_v2.6.3	8	7202	7600	+
Prodigal_v2.6.3	9	7612	7965	+
Prodigal_v2.6.3	10	7977	8555	+
Prodigal_v2.6.3	11	8552	8947	+
Prodigal_v2.6.3	12	8955	9695	+
Prodigal_v2.6.3	13	9711	10133	+
Prodigal_v2.6.3	14	10115	10549	+
Prodigal_v2.6.3	15	10542	13103	+
Prodigal_v2.6.3	16	13100	13429	+
Prodigal_v2.6.3	17	13429	14127	+
Prodigal_v2.6.3	18	14276	14875	+
Prodigal_v2.6.3	19	14872	15444	+
Prodigal_v2.6.3	20	15505	18903	+
Prodigal_v2.6.3	21	18965	19585	+
Prodigal_v2.6.3	22	19650	20855	+
Prodigal_v2.6.3	23	21029	21973	+
Prodigal_v2.6.3	24	21973	22557	+
Prodigal_v2.6.3	25	22686	23918	-
Prodigal_v2.6.3	26	24509	25399	-
Prodigal_v2.6.3	27	25396	26973	-
Prodigal_v2.6.3	28	27812	28882	-
Prodigal_v2.6.3	29	29118	29285	-
Prodigal_v2.6.3	30	29374	29655	-
Prodigal_v2.6.3	31	29847	30395	-
Prodigal_v2.6.3	32	31005	31196	-
Prodigal_v2.6.3	33	31169	31351	-
Prodigal_v2.6.3	34	31348	32028	-
Prodigal_v2.6.3	35	32025	32810	-
Prodigal_v2.6.3	36	32816	33112	-
Prodigal_v2.6.3	37	33187	33330	-
Prodigal_v2.6.3	38	33299	33463	-
Prodigal_v2.6.3	39	33536	33904	-
Prodigal_v2.6.3	40	34087	34287	-
Prodigal_v2.6.3	41	34497	35036	+
Prodigal_v2.6.3	42	35037	35360	-
Prodigal_v2.6.3	43	35825	36259	-
Prodigal_v2.6.3	44	36275	37114	-
Prodigal_v2.6.3	45	37227	37940	-
Prodigal_v2.6.3	46	38041	38241	+
Prodigal_v2.6.3	47	38360	38653	+
Prodigal_v2.6.3	48	38686	39585	+
Prodigal_v2.6.3	49	39582	40283	+
Prodigal_v2.6.3	50	40280	40570	+
Prodigal_v2.6.3	51	40644	41084	+
Prodigal_v2.6.3	52	41081	41953	+
Prodigal_v2.6.3	53	42432	43043	+
Prodigal_v2.6.3	54	43040	43246	+
Prodigal_v2.6.3	55	43224	43889	+
Prodigal_v2.6.3	56	43886	44509	+
Prodigal_v2.6.3	57	45186	45509	+
